"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2020","1.7107","1.6990","1.7107","1.6975","","0.01%"
"09/01/2020","1.7105","1.6990","1.7115","1.6972","","0.68%"
"08/01/2020","1.6990","1.7107","1.7107","1.6965","","-0.69%"
"07/01/2020","1.7107","1.6990","1.7107","1.6990","","0.69%"
"06/01/2020","1.6990","1.6965","1.7109","1.6965","","0.15%"
"05/01/2020","1.6965","1.6965","1.7107","1.6945","","-0.83%"
"04/01/2020","1.7107","1.6965","1.7115","1.6933","","0.03%"
"03/01/2020","1.7103","1.7098","1.7107","1.6911","","0.60%"
"02/01/2020","1.7000","1.6965","1.7153","1.6955","","0.17%"
"01/01/2020","1.6971","1.6965","1.7153","1.6955","","0.04%"
"12/01/2019","1.6965","1.7146","1.7153","1.6934","","-1.05%"
"11/01/2019","1.7146","1.7068","1.7157","1.6912","","0.46%"
"10/01/2019","1.7068","1.7068","1.7084","1.6941","","0.00%"
"09/01/2019","1.7068","1.7072","1.7083","1.6953","","0.60%"
"08/01/2019","1.6965","1.6965","1.7076","1.6941","","-0.57%"
"07/01/2019","1.7062","1.6965","1.7081","1.6945","","-0.03%"
"06/01/2019","1.7068","1.7068","1.7107","1.6957","","0.60%"
"05/01/2019","1.6965","1.6965","1.7107","1.6965","","-0.77%"
"04/01/2019","1.7098","1.6965","1.7111","1.6965","","0.78%"
"03/01/2019","1.6965","1.6965","1.7107","1.6722","","0.00%"
"02/01/2019","1.6965","1.6965","1.7118","1.6965","","0.00%"
"01/01/2019","1.6965","1.7025","1.7112","1.6965","","-0.35%"
"12/01/2018","1.7025","1.7025","1.7050","1.7025","","0.00%"
"11/01/2018","1.7025","1.7025","1.7062","1.7025","","-0.15%"
"10/01/2018","1.7050","1.7025","1.7050","1.7025","","0.00%"
"09/01/2018","1.7050","1.7025","1.7050","1.7025","","0.15%"
"08/01/2018","1.7025","1.7025","1.7062","1.7025","","-0.15%"
"07/01/2018","1.7050","1.7025","1.7050","1.7025","","0.00%"
"06/01/2018","1.7050","1.7025","1.7050","1.7025","","0.15%"
"05/01/2018","1.7025","1.7025","1.7062","1.7025","","0.00%"
"04/01/2018","1.7025","1.7050","1.7050","1.7000","","-0.15%"
"03/01/2018","1.7050","1.6882","1.7062","1.6867","","0.99%"
"02/01/2018","1.6882","1.6890","1.7150","1.6882","","-0.04%"
"01/01/2018","1.6890","1.7000","1.7150","1.6865","","-0.65%"
"12/01/2017","1.7000","1.6985","1.7150","1.6875","","0.09%"
"11/01/2017","1.6985","1.6985","1.7151","1.6890","","0.00%"
"10/01/2017","1.6985","1.6853","1.7151","1.6853","","0.79%"
"09/01/2017","1.6853","1.7000","1.7155","1.6853","","-0.87%"
"08/01/2017","1.7000","1.6854","1.7155","1.6854","","0.86%"
"07/01/2017","1.6854","1.6861","1.7161","1.6854","","-0.04%"
"06/01/2017","1.6861","1.7000","1.7161","1.6850","","-0.82%"
"05/01/2017","1.7000","1.7000","1.7162","1.6775","","0.00%"
"04/01/2017","1.7000","1.7150","1.7372","1.6650","","-0.87%"
"03/01/2017","1.7150","1.7650","1.7924","1.7050","","-2.83%"
"02/01/2017","1.7650","1.9481","1.9517","1.7445","","-9.40%"
"01/01/2017","1.9481","1.8017","1.9497","1.8017","","8.13%"
"12/01/2016","1.8017","1.7433","1.8017","1.7433","","3.35%"
"11/01/2016","1.7433","1.7202","1.7457","1.7165","","6.77%"
"10/01/2016","1.6327","1.6300","1.6327","1.6300","","0.60%"
"09/01/2016","1.6229","1.6201","1.6229","1.6201","","-0.61%"
"08/01/2016","1.6328","1.6301","1.6328","1.6301","","2.89%"
"07/01/2016","1.5869","1.5841","1.5869","1.5841","","2.97%"
"06/01/2016","1.5412","1.5384","1.5412","1.5384","","3.35%"
"05/01/2016","1.4913","1.4886","1.4913","1.4886","","-1.43%"
"04/01/2016","1.5129","1.5034","1.5129","1.5034","","-1.94%"
"03/01/2016","1.5428","1.5400","1.5428","1.5400","","-1.51%"
"02/01/2016","1.5665","1.5629","1.5665","1.5629","","-2.30%"
"01/01/2016","1.6033","1.6005","1.6033","1.6005","","2.64%"
"12/01/2015","1.5620","1.5593","1.5620","1.5593","","49.26%"
"11/01/2015","1.0465","1.0438","1.0465","1.0438","","0.02%"
"10/01/2015","1.0463","1.0435","1.0463","1.0435","","0.00%"
"09/01/2015","1.0463","1.0435","1.0463","1.0435","","0.00%"
"08/01/2015","1.0463","1.0435","1.0463","1.0435","","-0.07%"
"07/01/2015","1.0470","1.0442","1.0470","1.0442","","0.11%"
"06/01/2015","1.0459","1.0432","1.0459","1.0432","","-0.09%"
"05/01/2015","1.0468","1.0440","1.0468","1.0440","","0.05%"
"04/01/2015","1.0463","1.0435","1.0463","1.0435","","0.00%"
"03/01/2015","1.0463","1.0435","1.0463","1.0435","","-0.10%"
"02/01/2015","1.0473","1.0445","1.0473","1.0445","","33.74%"
"01/01/2015","0.7831","0.7803","0.7831","0.7803","","-0.27%"
"12/01/2014","0.7852","0.7844","0.7852","0.7844","","0.28%"
"11/01/2014","0.7830","0.7803","0.7830","0.7803","","-0.10%"
"10/01/2014","0.7838","0.7823","0.7838","0.7823","","0.08%"
"09/01/2014","0.7832","0.7822","0.7832","0.7822","","-0.23%"
"08/01/2014","0.7850","0.7820","0.7850","0.7820","","0.24%"
"07/01/2014","0.7831","0.7822","0.7831","0.7822","","-0.01%"
"06/01/2014","0.7832","0.7823","0.7832","0.7823","","-0.01%"
"05/01/2014","0.7833","0.7824","0.7833","0.7824","","0.01%"
"04/01/2014","0.7832","0.7823","0.7832","0.7823","","-1.68%"
"03/01/2014","0.7966","0.7773","0.7966","0.7773","","1.70%"
"02/01/2014","0.7833","0.7824","0.7833","0.7824","","0.03%"
"01/01/2014","0.7831","0.7822","0.7831","0.7822","","-0.03%"
"12/01/2013","0.7833","0.7825","0.7833","0.7825","","0.00%"
"11/01/2013","0.7833","0.7824","0.7833","0.7824","","-0.01%"
"10/01/2013","0.7834","0.7825","0.7834","0.7825","","-0.04%"
"09/01/2013","0.7837","0.7831","0.7837","0.7831","","0.01%"
"08/01/2013","0.7836","0.7830","0.7836","0.7830","","-0.01%"
"07/01/2013","0.7837","0.7831","0.7837","0.7831","","0.00%"
"06/01/2013","0.7837","0.7831","0.7837","0.7831","","-0.01%"
"05/01/2013","0.7838","0.7832","0.7838","0.7832","","0.00%"
"04/01/2013","0.7838","0.7832","0.7838","0.7832","","-0.03%"
"03/01/2013","0.7840","0.7834","0.7840","0.7834","","0.00%"
"02/01/2013","0.7840","0.7834","0.7840","0.7834","","0.04%"
"01/01/2013","0.7837","0.7831","0.7837","0.7831","","-0.04%"
"12/01/2012","0.7840","0.7834","0.7840","0.7834","","-0.01%"
"11/01/2012","0.7841","0.7835","0.7841","0.7835","","-0.01%"
"10/01/2012","0.7842","0.7836","0.7842","0.7836","","-0.04%"
"09/01/2012","0.7845","0.7839","0.7845","0.7839","","0.00%"
"08/01/2012","0.7845","0.7839","0.7845","0.7839","","0.00%"
"07/01/2012","0.7845","0.7835","0.7845","0.7835","","-0.01%"
"06/01/2012","0.7846","0.7836","0.7846","0.7836","","-0.01%"
"05/01/2012","0.7847","0.7837","0.7847","0.7837","","-0.06%"
"04/01/2012","0.7852","0.7842","0.7852","0.7842","","-0.03%"
"03/01/2012","0.7854","0.7848","0.7854","0.7848","","0.01%"
"02/01/2012","0.7853","0.7847","0.7853","0.7847","","-0.03%"
